CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0000000140,U,1921-09-16,1998-02-23,76,60-80,70-80,Wales & West,C,16,1994-11-07,0,16000,Midlands,Gold,0,10,4
0000000620,U,1949-02-12,1998-02-23,49,40-60,40-50,Wales & West,D,35,1993-06-04,0,6000,Midlands,Gold,0,4,5
0000000868,F,1927-11-27,1998-02-23,70,60-80,70-80,Wales & West,D,27,1990-08-02,1,0.019999999999999997,Midlands,Silver,1,5,8
0000001120,M,1932-04-10,1998-02-23,65,60-80,60-70,Midlands,F,51,1991-07-01,1,0.009999999999999998,Midlands,Tin,1,10,7
0000002313,F,1929-05-21,1998-02-23,68,60-80,60-70,Midlands,A,04,1990-03-01,0,0.009999999999999998,Midlands,Tin,0,11,8
0000002771,U,1926-02-16,1998-02-23,72,60-80,70-80,N West,D,28,1995-11-07,0,20759.809999999998,North,Platinum,0,9,3
0000003131,F,1923-10-07,1998-02-23,74,60-80,70-80,East,A,03,1990-03-01,0,0.009999999999999998,Midlands,Tin,0,11,8
0000003328,M,1935-12-03,1998-02-23,62,60-80,60-70,N East,D,32,1994-02-09,0,0.009999999999999998,North,Tin,0,13,5
0000004529,M,1936-03-07,1998-02-23,62,60-80,60-70,East,F,49,1995-06-29,0,2038.76,Midlands,Silver,0,10,3
0000005886,F,1954-09-24,1998-02-23,43,40-60,40-50,,F,49,1997-03-17,1,6000,,Gold,1,14,1
0000007420,F,1937-05-19,1998-02-23,60,60-80,60-70,N East,F,52,1996-05-13,0,11000,North,Gold,0,7,2
0000009814,M,1942-12-31,1998-02-23,,,,London,C,24,1997-11-10,1,5000,South East,Silver,1,5,1
0000010006,F,1946-07-22,1998-02-23,51,40-60,50-60,Midlands,F,52,1987-12-10,0,300,Midlands,Silver,0,9,11
0000010219,F,1933-12-27,1998-02-23,64,60-80,60-70,S & S East,C,19,1990-02-01,0,0.009999999999999998,South East,Tin,0,6,9
0000010812,F,1961-01-31,1998-02-23,37,20-40,30-40,London,C,18,1994-04-28,2,0.009999999999999998,South East,Tin,1,16,4
0000011207,M,1943-05-03,1998-02-23,54,40-60,50-60,Midlands,D,28,1997-05-23,0,1420,Midlands,Silver,0,8,1
0000011932,F,1927-08-09,1998-02-23,70,60-80,70-80,Midlands,B,15,1990-04-05,0,6104.66,Midlands,Gold,0,5,8
0000014656,F,1955-03-20,1998-02-23,42,40-60,40-50,East,C,19,1994-01-04,1,0.009999999999999998,Midlands,Tin,1,,5
0000015350,F,1966-11-30,1998-02-23,,,,C Scotland,E,40,1993-09-22,1,0.009999999999999998,Scottish,Tin,1,7,5
0000017302,,1948-06-17,1998-02-23,49,40-60,40-50,London,D,28,1991-04-01,0,0.009999999999999998,South East,Tin,0,7,7
0000019496,F,1931-06-01,1998-02-23,66,60-80,60-70,Midlands,F,49,1986-09-10,0,500,Midlands,Silver,0,9,12
0000019763,F,1923-03-24,1998-02-23,74,60-80,70-80,Wales & West,B,08,1996-11-19,0,6000,Midlands,Gold,0,9,2
0000020478,,1927-12-24,1998-02-23,70,60-80,70-80,East,E,37,1996-05-07,0,16000,Midlands,Gold,0,6,2
0000020761,M,1931-10-20,1998-02-23,66,60-80,60-70,S & S East,D,30,1994-02-22,0,1000,South East,Silver,0,7,5
0000023124,F,1951-11-13,1998-02-23,46,40-60,40-50,London,D,27,1990-07-01,0,0.009999999999999998,South East,Tin,0,6,8
0000024554,M,1958-05-21,1998-02-23,39,20-40,30-40,Ulster,,,1994-01-25,0,0.009999999999999998,Midlands,Tin,0,10,5
0000024880,M,1922-06-03,1998-02-23,75,60-80,70-80,East,B,12,1991-12-18,0,4000,Midlands,Silver,0,7,7
0000026387,F,1925-08-06,1998-02-23,72,60-80,70-80,Ulster,,,1975-06-16,1,1250,Midlands,Silver,1,,23
0000027715,M,1955-01-23,1998-02-23,43,40-60,40-50,N West,F,53,1993-09-21,1,0.009999999999999998,North,Tin,1,7,5
0000029173,F,1936-01-12,1998-02-23,62,60-80,60-70,Wales & West,C,24,1994-11-23,0,20000,Midlands,Gold,0,7,4
0000029440,M,1960-03-18,1998-02-23,37,20-40,30-40,S West,B,05,1990-02-06,1,1000,South West,Silver,1,8,9
0000030600,F,1948-07-28,1998-02-23,49,40-60,40-50,London,F,48,1990-05-01,0,0.009999999999999998,South East,Tin,0,9,8
0000030937,,1918-11-06,1998-02-23,79,60-80,70-80,N East,D,32,1997-05-12,0,6000,North,Gold,0,8,1
0000039330,M,1967-12-06,1998-02-23,,,,East,F,50,1994-04-22,0,0.009999999999999998,Midlands,Tin,0,,4
0000041092,F,1947-04-14,1998-02-23,50,40-60,50-60,East,D,35,1996-01-02,0,9800,Midlands,Gold,0,3,3
0000041475,M,1931-06-05,1998-02-23,66,60-80,60-70,London,D,28,1987-11-19,0,0.009999999999999998,South East,Tin,0,,11
0000042439,F,1963-02-07,1998-02-23,35,20-40,30-40,Wales & West,C,19,1993-03-09,1,1630,Midlands,Silver,1,15,5
0000045799,F,1926-11-10,1998-02-23,71,60-80,70-80,Wales & West,B,14,1993-10-20,0,1500,Midlands,Silver,0,10,5
0000046906,F,1953-08-05,1998-02-23,44,40-60,40-50,N West,F,51,1997-11-12,0,1000,North,Silver,0,7,1
0000050237,M,1955-12-10,1998-02-23,42,40-60,40-50,N East,B,15,1993-09-14,0,0.009999999999999998,North,Tin,0,8,5
0000051950,F,1929-05-12,1998-02-23,68,60-80,60-70,S West,B,08,1993-12-08,1,6053.25,South West,Gold,1,9,5
0000054496,F,1966-08-24,1998-02-23,31,20-40,30-40,Yorkshire,D,32,1994-09-28,0,0.009999999999999998,North,Tin,0,9,4
0000056073,F,1927-06-12,1998-02-23,70,60-80,70-80,London,B,12,1984-01-28,0,19053.82,South East,Gold,0,8,15
0000057002,F,1925-04-04,1998-02-23,72,60-80,70-80,N East,E,38,1995-12-05,0,20526.96,North,Platinum,0,7,3
0000057622,M,1956-03-29,1998-02-23,41,40-60,40-50,East,,,1990-01-01,0,0.009999999999999998,Midlands,Tin,0,12,9
0000059056,F,1960-09-07,1998-02-23,37,20-40,30-40,N East,F,52,1997-07-31,1,6000,North,Gold,1,9,1
0000059862,F,1939-07-07,1998-02-23,58,40-60,50-60,N West,C,24,1991-09-27,0,10053.349999999999,North,Gold,0,8,7
0000063002,F,1950-12-07,1998-02-23,47,40-60,40-50,London,D,31,1994-01-20,0,0.019999999999999997,South East,Silver,0,7,5
0000063983,M,1927-01-16,1998-02-23,71,60-80,70-80,East,E,37,1993-02-20,0,1000,Midlands,Silver,0,8,6
0000071986,F,1935-08-06,1998-02-23,62,60-80,60-70,Midlands,D,27,1993-08-09,1,1000,Midlands,Silver,1,8,5
0000072559,U,1925-08-04,1998-02-23,72,60-80,70-80,Midlands,E,37,1986-06-04,0,6340.26,Midlands,Gold,0,15,12
0000073148,F,1959-02-14,1998-02-23,39,20-40,30-40,Midlands,E,44,1994-12-02,1,2241.3599999999997,Midlands,Silver,1,8,4
0000075205,M,1921-03-16,1998-02-23,76,60-80,70-80,Wales & West,D,34,1979-07-18,0,12000,Midlands,Gold,0,6,19
0000075469,F,1936-05-20,1998-02-23,61,60-80,60-70,Border,B,11,1987-07-07,1,6000,Scottish,Gold,1,7,11
0000080322,,1944-10-24,1998-02-23,53,40-60,50-60,Midlands,D,32,1993-12-20,0,0.009999999999999998,Midlands,Tin,0,6,5
0000080608,M,1937-09-06,1998-02-23,60,60-80,60-70,Yorkshire,C,22,1987-11-12,1,60,North,Silver,1,8,11
0000082678,F,1955-12-14,1998-02-23,42,40-60,40-50,London,F,52,1994-02-14,1,0.009999999999999998,South East,Tin,1,15,5
0000083852,F,1937-02-28,1998-02-23,,,,London,A,04,1994-10-27,0,5000,South East,Silver,0,13,4
0000084573,F,1940-05-27,1998-02-23,57,40-60,50-60,Midlands,E,38,1987-11-10,0,50,Midlands,Silver,0,10,11
0000087750,M,1952-12-04,1998-02-23,45,40-60,40-50,Midlands,F,51,1994-03-11,0,0.009999999999999998,Midlands,Tin,0,6,4
0000089796,F,1923-01-22,1998-02-23,75,60-80,70-80,East,B,12,1990-06-25,1,3052.66,Midlands,Silver,1,11,8
0000091588,F,1960-07-22,1998-02-23,37,20-40,30-40,Yorkshire,E,38,1993-12-14,1,0.009999999999999998,North,Tin,1,8,5
0000093564,U,1937-02-15,1998-02-23,61,60-80,60-70,S West,E,42,1991-01-02,0,3000,South West,Silver,0,13,8
0000095036,F,1937-03-04,1998-02-23,61,60-80,60-70,,B,08,1990-01-01,0,1020,,Silver,0,12,9
0000095982,F,1958-10-06,1998-02-23,39,20-40,30-40,Yorkshire,A,04,1990-06-01,3,0.009999999999999998,North,Tin,1,19,8
0000097802,M,1942-08-31,1998-02-23,55,40-60,50-60,Ulster,,,1997-11-10,0,2000,Midlands,Silver,0,7,1
0000102385,M,1940-12-10,1998-02-23,57,40-60,50-60,C Scotland,B,08,1989-11-02,0,9000,Scottish,Gold,0,8,9
0000103225,F,1979-09-06,1998-02-23,18,<20,10-20,S & S East,C,22,1997-11-03,0,6000,South East,Gold,0,13,1
0000108413,U,1941-05-10,1998-02-23,56,40-60,50-60,N West,A,01,1991-01-08,0,3000,North,Silver,0,5,8
0000109819,F,1947-11-16,1998-02-23,50,40-60,50-60,N East,D,27,1994-05-11,0,20000,North,Gold,0,9,4
0000113743,F,1943-08-29,1998-02-23,54,40-60,50-60,N West,F,51,1996-04-02,0,2000,North,Silver,0,,2
0000117498,U,1930-06-21,1998-02-23,67,60-80,60-70,N East,B,15,1991-01-02,0,22000,North,Platinum,0,11,8
0000118397,F,1920-03-05,1998-02-23,78,60-80,70-80,Midlands,E,37,1974-04-25,0,2000,Midlands,Silver,0,7,24
